"Cod birou electoral",Județ,Uat,Siruta,Localitate,Secție,Nr,Tip,Versiune,a,b,b1,b2,b3,c,d,e,f,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","COLEGIUL ECONOMIC ”A.D. XENOPOL”",353,"Alegeri Prezidentiale",1,1466,728,648,80,0,723,5,1600,872,248,62,158,0,133,1,4,3,3,72,3,16,3,17
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","DIRECȚIA PUBLICĂ DE EVIDENȚĂ PERSOANE ȘI STARE CIVILĂ SECTOR 2",354,"Alegeri Prezidentiale",1,1414,831,734,96,1,821,10,1600,769,330,71,173,1,119,2,1,0,0,92,5,17,5,5
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","DIRECȚIA PUBLICĂ DE EVIDENȚĂ PERSOANE ȘI STARE CIVILĂ SECTOR 2",355,"Alegeri Prezidentiale",1,1681,822,725,95,2,814,8,1800,978,289,83,229,1,122,2,2,0,1,66,4,10,0,5
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ ”MAICA DOMNULUI” (FOSTA ȘCOALĂ NR. 50)",356,"Alegeri Prezidentiale",1,1446,871,750,121,0,860,11,1800,929,305,68,206,1,150,2,1,0,4,102,5,10,3,3
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ ”MAICA DOMNULUI” (FOSTA ȘCOALĂ NR. 50)",357,"Alegeri Prezidentiale",1,1531,922,797,125,0,912,10,1800,878,258,73,280,2,162,0,6,2,1,109,3,11,1,4
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ ”MAICA DOMNULUI” (FOSTA ȘCOALĂ NR. 50)",358,"Alegeri Prezidentiale",1,1742,934,818,116,0,926,8,1800,866,285,78,235,2,189,1,2,2,1,93,5,15,4,14
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","COLEGIUL NAŢIONAL ”MIHAI VITEAZUL”",359,"Alegeri Prezidentiale",1,1654,1020,722,160,138,1012,8,1800,780,349,94,254,4,177,5,1,3,0,91,5,16,3,10
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","COLEGIUL NAŢIONAL ”MIHAI VITEAZUL”",360,"Alegeri Prezidentiale",1,1429,831,630,144,57,821,10,1600,769,258,82,219,1,137,4,0,3,4,75,4,23,2,9
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ NR. 56",361,"Alegeri Prezidentiale",1,1401,838,715,123,0,830,8,1600,163,268,82,236,8,102,1,4,3,1,89,3,18,3,12
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ NR. 56",362,"Alegeri Prezidentiale",1,1202,653,582,71,0,647,6,1400,747,200,62,165,1,100,3,3,1,1,88,1,16,3,3
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ NR. 85",363,"Alegeri Prezidentiale",1,1016,547,518,29,0,542,5,1200,653,180,45,135,0,87,2,2,0,1,60,2,12,4,12
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ NR. 85",364,"Alegeri Prezidentiale",1,1266,595,554,41,0,593,2,1400,805,209,52,126,2,112,1,2,1,0,71,2,8,0,7
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ NR. 85",365,"Alegeri Prezidentiale",1,1204,671,585,86,0,659,12,1400,729,214,63,143,5,105,4,0,1,1,91,8,16,2,6
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","ŞCOALA GIMNAZIALĂ NR. 85",366,"Alegeri Prezidentiale",1,1114,682,597,85,0,675,7,1200,518,231,57,171,0,112,2,1,0,0,80,1,11,6,3
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","LICEUL TEORETIC ”WALDORF” - GRADINIȚA NR. 113",367,"Alegeri Prezidentiale",1,1260,647,545,102,0,643,4,1400,753,189,64,164,1,115,2,2,1,1,73,7,12,4,8
43,"MUNICIPIUL BUCUREŞTI - SECTOR 2","MUNICIPIUL BUCUREŞTI",179132,"BUCUREŞTI SECTORUL 2","LICEUL TEORETIC ”WALDORF” - GRADINIȚA NR. 113",368,"Alegeri Prezidentiale",1,1812,830,738,92,0,824,6,2000,1170,243,62,278,1,137,3,2,2,3,64,1,20,6,2
